BillID,CustomerID,Region,UtilityType,BillMonth,UnitsConsumed,RatePerUnit,ExpectedAmount,BilledAmount,PaymentStatus,DueDate,PaidDate,Discrepancy,DiscrepancyFlag
BILL00001,CUST0001,North,Water,Jan-2024,20.5,18.5,379.25,379.25,Paid,2024-01-21,2024-01-21,0.0,No
BILL00002,CUST0001,North,Gas,Jan-2024,11.6,45.0,522.0,678.6,Pending,2024-01-21,,156.6,Yes
BILL00003,CUST0001,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-16,0.0,No
BILL00004,CUST0002,North,Electricity,Jan-2024,341.4,7.2,2458.08,2458.08,Pending,2024-01-21,,0.0,No
BILL00005,CUST0002,North,Water,Jan-2024,16.8,18.5,310.8,310.8,Paid,2024-01-21,2024-01-18,0.0,No
BILL00006,CUST0002,North,Gas,Jan-2024,11.3,45.0,508.5,508.5,Paid,2024-01-21,2024-01-15,0.0,No
BILL00007,CUST0002,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-21,0.0,No
BILL00008,CUST0003,East,Electricity,Jan-2024,296.0,7.2,2131.2,2131.2,Paid,2024-01-21,2024-01-10,0.0,No
BILL00009,CUST0003,East,Water,Jan-2024,15.7,18.5,290.45,290.45,Paid,2024-01-21,2024-01-20,0.0,No
BILL00010,CUST0003,East,Gas,Jan-2024,13.6,45.0,612.0,612.0,Paid,2024-01-21,2024-01-06,0.0,No
BILL00011,CUST0003,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00012,CUST0004,South,Water,Jan-2024,15.7,18.5,290.45,290.45,Paid,2024-01-21,2024-01-08,0.0,No
BILL00013,CUST0004,South,Gas,Jan-2024,12.7,45.0,571.5,571.5,Pending,2024-01-21,,0.0,No
BILL00014,CUST0004,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-10,0.0,No
BILL00015,CUST0005,South,Electricity,Jan-2024,146.5,7.2,1054.8,1054.8,Paid,2024-01-21,2024-01-14,0.0,No
BILL00016,CUST0005,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-20,0.0,No
BILL00017,CUST0006,South,Electricity,Jan-2024,189.2,7.2,1362.24,1362.24,Pending,2024-01-21,,0.0,No
BILL00018,CUST0006,South,Gas,Jan-2024,12.9,45.0,580.5,580.5,Paid,2024-01-21,2024-01-17,0.0,No
BILL00019,CUST0006,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-14,0.0,No
BILL00020,CUST0007,North,Electricity,Jan-2024,165.3,7.2,1190.16,1190.16,Paid,2024-01-21,2024-01-18,0.0,No
BILL00021,CUST0007,North,Water,Jan-2024,25.3,18.5,468.05,468.05,Paid,2024-01-21,2024-01-20,0.0,No
BILL00022,CUST0007,North,Gas,Jan-2024,11.3,45.0,508.5,508.5,Paid,2024-01-21,2024-01-09,0.0,No
BILL00023,CUST0007,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-15,0.0,No
BILL00024,CUST0008,Central,Electricity,Jan-2024,164.5,7.2,1184.4,1184.4,Paid,2024-01-21,2024-01-13,0.0,No
BILL00025,CUST0008,Central,Water,Jan-2024,15.3,18.5,283.05,283.05,Paid,2024-01-21,2024-01-18,0.0,No
BILL00026,CUST0008,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00027,CUST0009,North,Electricity,Jan-2024,180.9,7.2,1302.48,1302.48,Paid,2024-01-21,2024-01-06,0.0,No
BILL00028,CUST0009,North,Water,Jan-2024,19.9,18.5,368.15,368.15,Overdue,2024-01-21,,0.0,No
BILL00029,CUST0009,North,Gas,Jan-2024,10.2,45.0,459.0,550.8,Paid,2024-01-21,2024-01-07,91.8,Yes
BILL00030,CUST0009,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00031,CUST0010,Central,Electricity,Jan-2024,213.9,7.2,1540.08,1540.08,Paid,2024-01-21,2024-01-15,0.0,No
BILL00032,CUST0010,Central,Water,Jan-2024,27.3,18.5,505.05,505.05,Paid,2024-01-21,2024-01-20,0.0,No
BILL00033,CUST0010,Central,Gas,Jan-2024,12.0,45.0,540.0,702.0,Paid,2024-01-21,2024-01-16,162.0,Yes
BILL00034,CUST0011,West,Electricity,Jan-2024,186.5,7.2,1342.8,1342.8,Paid,2024-01-21,2024-01-19,0.0,No
BILL00035,CUST0011,West,Water,Jan-2024,22.1,18.5,408.85,408.85,Paid,2024-01-21,2024-01-14,0.0,No
BILL00036,CUST0011,West,Gas,Jan-2024,8.3,45.0,373.5,280.12,Paid,2024-01-21,2024-01-11,-93.38,Yes
BILL00037,CUST0011,West,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00038,CUST0012,North,Electricity,Jan-2024,132.4,7.2,953.28,953.28,Paid,2024-01-21,2024-01-12,0.0,No
BILL00039,CUST0012,North,Water,Jan-2024,11.4,18.5,210.9,210.9,Overdue,2024-01-21,,0.0,No
BILL00040,CUST0012,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-15,0.0,No
BILL00041,CUST0013,North,Electricity,Jan-2024,294.3,7.2,2118.96,2118.96,Paid,2024-01-21,2024-01-19,0.0,No
